AIRPRTX010,FEATURE,ICAO,IATA,AIRPT_NAME,CITY,STATE,STATE_FIPS,COUNTY,FIPS,TOT_ENP,LATITUDE,LONGITUDE,ELEV,ACT_DATE,CNTL_TWR
0,AIRPORT,KGON,GON,GROTON-NEW LONDON AIRPORT,GROTON (NEW LONDON),CT,09,NEW LONDON,09011,75,41.330056,-72.045139,9.000000,04/1940,Y
3,AIRPORT,K6S5,6S5,RAVALLI COUNTY AIRPORT,HAMILTON,MT,30,RAVALLI,30081,112,46.251494,-114.125540,3642.000000,04/1940,N
4,AIRPORT,KMHV,MHV,MOJAVE AIRPORT,MOJAVE,CA,06,KERN,06029,135,35.058639,-118.150556,2801.000000,04/1940,Y
6,AIRPORT,KSEE,SEE,GILLESPIE FIELD AIRPORT,SAN DIEGO/EL CAJON,CA,06,SAN DIEGO,06073,30,32.826222,-116.972444,388.000000,12/1942,Y
7,AIRPORT,KFPR,FPR,ST LUCIE COUNTY INTERNATIONAL AIRPORT,FORT PIERCE,FL,12,ST LUCIE,12111,33,27.497479,-80.372632,24.000000,,Y
8,AIRPORT,KRYY,RYY,COBB COUNTY-MC COLLUM FIELD,ATLANTA,GA,13,COBB,13067,110,34.013157,-84.597056,1041.000000,12/1942,Y
10,AIRPORT,KMKL,MKL,MC KELLAR-SIPES REGIONAL AIRPORT,JACKSON,TN,47,MADISON,47113,2545,35.599889,-88.915611,434.000000,07/1942,Y
11,AIRPORT,KCCR,CCR,BUCHANAN FIELD AIRPORT,CONCORD,CA,06,CONTRA COSTA,06013,53,37.989667,-122.056889,26.000000,07/1944,Y
13,AIRPORT,KJYO,JYO,LEESBURG EXECUTIVE AIRPORT,LEESBURG,VA,51,LOUDOUN,51107,46,39.077972,-77.557500,389.000000,10/1964,N
15,AIRPORT,KCAD,CAD,WEXFORD COUNTY AIRPORT,CADILLAC,MI,26,WEXFORD,26165,57,44.275333,-85.418917,1307.000000,04/1942,N
17,AIRPORT,K0B8,0B8,ELIZABETH FIELD AIRPORT,FISHERS ISLAND,NY,36,SUFFOLK,36103,66,41.251308,-72.031611,9.000000,,N
19,AIRPORT,KSDM,SDM,BROWN FIELD MUNICIPAL AIRPORT,SAN DIEGO,CA,06,SAN DIEGO,06073,194,32.572272,-116.980161,526.000000,03/1948,Y
21,AIRPORT,KIXD,IXD,NEW CENTURY AIRCENTER AIRPORT,OLATHE,KS,20,JOHNSON,20091,51,38.830917,-94.890306,1087.000000,,Y
24,AIRPORT,KS59,S59,LIBBY AIRPORT,LIBBY,MT,30,LINCOLN,30053,53,48.283845,-115.490245,2601.000000,,N
